sample_name	altitude	antibiotic_status	body_habitat	body_product	body_site	collection_date	collection_timestamp	country	depth	description	dna_extracted	elevation	env_biome	env_feature	env_material	env_package	geo_loc_name	host_common_name	host_scientific_name	host_subject_id	latitude	longitude	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_type	scientific_name	title	treatment
1958.Antibioticday5.7.83	0	Antibiotic day 5	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibiioticday5 Sample, Treatment 7	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	20	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	7
1958.Antibioticday5.8.84	0	Antibiotic day 5	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibiioticday5 Sample, Treatment 8	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	21	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	8
1958.Preantibiotic.1.59	0	Preantibiotic	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Preantibiotic Sample, Treatment 1	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	1	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	1
1958.Preantibiotic.10.68	0	Preantibiotic	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Preantibiotic Sample, Treatment 10	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	10	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	10
1958.Preantibiotic.2.60	0	Preantibiotic	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Preantibiotic Sample, Treatment 2	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	2	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	2
1958.Preantibiotic.3.61	0	Preantibiotic	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Preantibiotic Sample, Treatment 3	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	3	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	3
1958.Preantibiotic.4.62	0	Preantibiotic	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Preantibiotic Sample, Treatment 4	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	4	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	4
1958.Preantibiotic.5.63	0	Preantibiotic	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Preantibiotic Sample, Treatment 5	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	5	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	5
1958.Preantibiotic.6.64	0	Preantibiotic	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Preantibiotic Sample, Treatment 6	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	6	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	6
1958.Preantibiotic.7.65	0	Preantibiotic	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Preantibiotic Sample, Treatment 7	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	7	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	7
1958.Preantibiotic.8.66	0	Preantibiotic	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Preantibiotic Sample, Treatment 8	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	8	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	8
1958.Preantibiotic.9.67	0	Preantibiotic	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Preantibiotic Sample, Treatment 9	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	9	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	9
